timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-05-01T00:01:10.082556+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.7 km/h,67%,28.9°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T01:11:26.650629+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,71%,28.9°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T02:01:13.078469+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,71%,28.9°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T03:09:28.631620+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.7 km/h,72%,27.8°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T04:01:19.850052+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.7 km/h,72%,27.8°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T05:01:21.698229+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.1 km/h,72%,27.8°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T06:01:21.404288+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,73%,27.8°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T07:44:48.740273+07:00,Hồ Chí Minh,57,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,73%,27.8°C,12.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T09:40:13.190459+07:00,Hồ Chí Minh,62,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.1 km/h,67%,30.0°C,15.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T10:38:57.043237+07:00,Hồ Chí Minh,67,/dl/web/weather/ic-w-01-clear-sky-full.svg,14.8 km/h,58%,31.1°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-05-01T11:14:38.156608+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,55%,31.1°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T12:01:13.937867+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,55%,31.1°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T13:13:00.076037+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,46%,33.9°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T14:01:20.608071+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,46%,33.9°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T15:11:44.830060+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,59%,33.9°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T16:09:05.731399+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,59%,33.9°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T18:01:14.572568+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,67%,32.2°C,14.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T19:14:33.716607+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,70%,31.1°C,18.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T20:19:13.222564+07:00,Hồ Chí Minh,64,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,70%,30.0°C,16.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T21:01:24.925753+07:00,Hồ Chí Minh,64,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,14.8 km/h,70%,28.9°C,16.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T22:01:16.184650+07:00,Hồ Chí Minh,62,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,14.8 km/h,70%,28.9°C,15.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T23:10:26.447370+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,18.5 km/h,74%,27.8°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T00:07:41.424926+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,18.5 km/h,76%,27.8°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T01:11:17.594372+07:00,Hồ Chí Minh,57,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,18.5 km/h,75%,27.8°C,12.5,N/A,N/A,N/A,N/A,N/A
2025-05-02T02:01:03.443559+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,18.5 km/h,75%,27.8°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T03:01:07.578122+07:00,Hồ Chí Minh,55,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,72%,27.8°C,11.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T04:07:51.256185+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,72%,27.8°C,8.0,N/A,N/A,N/A,N/A,N/A
