timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-05-01T00:01:24.089233+07:00,Nha Trang,70,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,8.7 km/h,85%,27.8°C,19.3,N/A,N/A,N/A,N/A,N/A
2025-05-01T01:11:41.082986+07:00,Nha Trang,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,85%,27.2°C,19.3,N/A,N/A,N/A,N/A,N/A
2025-05-01T02:01:27.309430+07:00,Nha Trang,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,85%,27.2°C,18.3,N/A,N/A,N/A,N/A,N/A
2025-05-01T03:09:43.945142+07:00,Nha Trang,68,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,8.2 km/h,85%,27.2°C,18.3,N/A,N/A,N/A,N/A,N/A
2025-05-01T04:01:35.231101+07:00,Nha Trang,68,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,8.2 km/h,85%,27.2°C,18.3,N/A,N/A,N/A,N/A,N/A
2025-05-01T05:01:37.011114+07:00,Nha Trang,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.2 km/h,82%,27.2°C,16.7,N/A,N/A,N/A,N/A,N/A
2025-05-01T06:01:35.626433+07:00,Nha Trang,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.2 km/h,82%,27.2°C,16.7,N/A,N/A,N/A,N/A,N/A
2025-05-01T07:45:03.499263+07:00,Nha Trang,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,76%,27.8°C,14.9,N/A,N/A,N/A,N/A,N/A
2025-05-01T09:40:27.639416+07:00,Nha Trang,62,/dl/web/weather/ic-w-06-rain-full.svg,8.9 km/h,64%,30.0°C,14.9,N/A,N/A,N/A,N/A,N/A
2025-05-01T10:39:11.252617+07:00,Nha Trang,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,65%,28.9°C,16.2,N/A,N/A,N/A,N/A,N/A
2025-05-01T11:14:53.911398+07:00,Nha Trang,64,/dl/web/weather/ic-w-06-rain-full.svg,17.5 km/h,62%,30.0°C,16.2,N/A,N/A,N/A,N/A,N/A
2025-05-01T12:01:28.684842+07:00,Nha Trang,64,/dl/web/weather/ic-w-06-rain-full.svg,17.5 km/h,62%,30.0°C,16.2,N/A,N/A,N/A,N/A,N/A
2025-05-01T13:13:14.642085+07:00,Nha Trang,64,/dl/web/weather/ic-w-06-rain-full.svg,8.5 km/h,67%,27.8°C,16.2,N/A,N/A,N/A,N/A,N/A
2025-05-01T14:01:34.914617+07:00,Nha Trang,65,/dl/web/weather/ic-w-06-rain-full.svg,7.2 km/h,78%,27.8°C,16.7,N/A,N/A,N/A,N/A,N/A
2025-05-01T15:11:58.770088+07:00,Nha Trang,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.7 km/h,77%,27.8°C,16.7,N/A,N/A,N/A,N/A,N/A
2025-05-01T16:09:20.200927+07:00,Nha Trang,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.6 km/h,78%,27.2°C,16.7,N/A,N/A,N/A,N/A,N/A
2025-05-01T17:01:48.804255+07:00,Nha Trang,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.0 km/h,78%,27.8°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-05-01T18:01:28.395824+07:00,Nha Trang,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.0 km/h,78%,27.8°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-05-01T19:14:48.593670+07:00,Nha Trang,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.1 km/h,85%,27.2°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-05-01T20:19:28.023381+07:00,Nha Trang,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,87%,27.2°C,18.2,N/A,N/A,N/A,N/A,N/A
2025-05-01T21:01:39.957079+07:00,Nha Trang,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.9 km/h,88%,27.2°C,18.2,N/A,N/A,N/A,N/A,N/A
2025-05-01T22:01:30.685828+07:00,Nha Trang,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.9 km/h,88%,27.2°C,18.2,N/A,N/A,N/A,N/A,N/A
2025-05-01T23:10:40.784969+07:00,Nha Trang,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.9 km/h,83%,27.2°C,19.4,N/A,N/A,N/A,N/A,N/A
2025-05-02T00:07:56.056278+07:00,Nha Trang,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.9 km/h,88%,27.2°C,19.4,N/A,N/A,N/A,N/A,N/A
2025-05-02T01:11:32.802261+07:00,Nha Trang,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,88%,26.1°C,19.4,N/A,N/A,N/A,N/A,N/A
2025-05-02T02:01:17.502188+07:00,Nha Trang,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,88%,26.1°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T03:01:23.657609+07:00,Nha Trang,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.2 km/h,88%,26.1°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T04:08:06.741012+07:00,Nha Trang,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,86%,27.2°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T05:01:47.341390+07:00,Nha Trang,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.0 km/h,88%,26.1°C,18.1,N/A,N/A,N/A,N/A,N/A
2025-05-02T06:01:20.184323+07:00,Nha Trang,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.0 km/h,88%,26.1°C,18.1,N/A,N/A,N/A,N/A,N/A
2025-05-02T07:39:52.708265+07:00,Nha Trang,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,82%,27.2°C,14.8,N/A,N/A,N/A,N/A,N/A
2025-05-02T09:24:29.651366+07:00,Nha Trang,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.0 km/h,66%,30.0°C,14.8,N/A,N/A,N/A,N/A,N/A
2025-05-02T10:33:33.728107+07:00,Nha Trang,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,64%,31.1°C,14.8,N/A,N/A,N/A,N/A,N/A
2025-05-02T11:01:37.725784+07:00,Nha Trang,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,64%,31.1°C,16.8,N/A,N/A,N/A,N/A,N/A
2025-05-02T12:09:32.122964+07:00,Nha Trang,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.4 km/h,68%,31.1°C,16.8,N/A,N/A,N/A,N/A,N/A
2025-05-02T13:01:18.692875+07:00,Nha Trang,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.4 km/h,68%,31.1°C,16.8,N/A,N/A,N/A,N/A,N/A
2025-05-02T14:01:28.686583+07:00,Nha Trang,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.7 km/h,73%,31.1°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T15:11:54.286674+07:00,Nha Trang,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.1 km/h,72%,31.1°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T16:01:38.709854+07:00,Nha Trang,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.1 km/h,72%,31.1°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T17:09:00.685771+07:00,Nha Trang,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.5 km/h,78%,28.9°C,17.4,N/A,N/A,N/A,N/A,N/A
2025-05-02T18:01:30.863248+07:00,Nha Trang,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.5 km/h,78%,28.9°C,17.4,N/A,N/A,N/A,N/A,N/A
2025-05-02T19:15:39.640494+07:00,Nha Trang,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.7 km/h,84%,27.8°C,17.4,N/A,N/A,N/A,N/A,N/A
2025-05-02T20:20:10.866361+07:00,Nha Trang,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.7 km/h,85%,27.8°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-05-02T21:08:34.590368+07:00,Nha Trang,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,86%,27.8°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-05-02T22:08:45.100448+07:00,Nha Trang,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,87%,27.8°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-05-02T23:10:01.472879+07:00,Nha Trang,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,86%,27.8°C,18.7,N/A,N/A,N/A,N/A,N/A
2025-05-03T00:01:40.259759+07:00,Nha Trang,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,86%,27.8°C,18.7,N/A,N/A,N/A,N/A,N/A
2025-05-03T01:11:36.243862+07:00,Nha Trang,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,88%,27.2°C,18.7,N/A,N/A,N/A,N/A,N/A
2025-05-03T02:01:26.010716+07:00,Nha Trang,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,88%,27.2°C,17.4,N/A,N/A,N/A,N/A,N/A
