timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-03-01T00:02:27.284374+07:00,Bắc Ninh,162,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,95%,18.9°C,71.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T01:11:26.631527+07:00,Bắc Ninh,168,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.1 km/h,97%,17.8°C,80.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T02:02:14.376773+07:00,Bắc Ninh,168,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.1 km/h,97%,17.8°C,80.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T03:11:10.229859+07:00,Bắc Ninh,175,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.9 km/h,95%,18.9°C,90.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T04:02:17.065546+07:00,Bắc Ninh,175,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.9 km/h,95%,18.9°C,90.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T05:02:20.065172+07:00,Bắc Ninh,170,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.7 km/h,93%,18.9°C,83.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T06:01:46.838523+07:00,Bắc Ninh,177,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.9 km/h,93%,18.9°C,93.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T09:18:40.139058+07:00,Bắc Ninh,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.0 km/h,91%,21.1°C,70.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T10:23:07.337636+07:00,Bắc Ninh,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.8 km/h,84%,22.2°C,57.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T11:09:59.268067+07:00,Bắc Ninh,153,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,76%,22.8°C,58.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T12:02:14.886449+07:00,Bắc Ninh,153,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,76%,22.8°C,58.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T13:10:45.421474+07:00,Bắc Ninh,139,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.3 km/h,71%,25.0°C,51.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T14:01:59.099631+07:00,Bắc Ninh,139,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.3 km/h,71%,25.0°C,51.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T15:10:06.141201+07:00,Bắc Ninh,157,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.1 km/h,65%,26.1°C,64.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T16:01:57.517622+07:00,Bắc Ninh,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.1 km/h,65%,26.1°C,66.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T17:02:20.920114+07:00,Bắc Ninh,147,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,25.3 km/h,63%,27.2°C,54.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T18:02:01.360223+07:00,Bắc Ninh,132,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,25.4 km/h,71%,25.0°C,48.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T19:12:33.957366+07:00,Bắc Ninh,134,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,22.0 km/h,83%,22.2°C,49.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T20:13:28.327150+07:00,Bắc Ninh,153,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.0 km/h,85%,21.1°C,58.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T21:01:53.077481+07:00,Bắc Ninh,153,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.0 km/h,85%,21.1°C,58.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T22:02:18.504775+07:00,Bắc Ninh,156,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.7 km/h,86%,21.1°C,62.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T23:08:26.366131+07:00,Bắc Ninh,149,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,87%,20.0°C,55.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T01:09:44.136972+07:00,Bắc Ninh,142,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.2 km/h,88%,20.0°C,52.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T02:02:06.174825+07:00,Bắc Ninh,142,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.2 km/h,88%,20.0°C,52.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T03:02:06.483832+07:00,Bắc Ninh,155,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,88%,20.0°C,61.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T04:02:07.958240+07:00,Bắc Ninh,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.0 km/h,88%,21.1°C,66.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T05:02:06.042672+07:00,Bắc Ninh,167,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.3 km/h,88%,21.1°C,79.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T06:02:08.569603+07:00,Bắc Ninh,163,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,88%,21.1°C,73.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T07:40:09.037019+07:00,Bắc Ninh,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,89%,21.1°C,57.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T09:17:29.916864+07:00,Bắc Ninh,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,81%,22.2°C,57.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T10:19:37.456337+07:00,Bắc Ninh,124,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.0 km/h,79%,22.8°C,45.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T11:09:45.913876+07:00,Bắc Ninh,112,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.9 km/h,77%,22.8°C,40.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T12:01:59.674218+07:00,Bắc Ninh,112,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.9 km/h,77%,22.8°C,40.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T13:10:55.426539+07:00,Bắc Ninh,117,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.4 km/h,68%,26.1°C,42.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T14:02:06.144626+07:00,Bắc Ninh,147,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.4 km/h,68%,26.1°C,54.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T15:02:02.686589+07:00,Bắc Ninh,149,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,65%,26.1°C,55.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T16:03:03.538704+07:00,Bắc Ninh,129,/dl/web/weather/ic-w-01-clear-sky-full.svg,23.3 km/h,53%,30.0°C,47.0,N/A,N/A,N/A,N/A,N/A
