timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-02-05T22:01:23.225087+07:00,Hải Phòng,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,77%,16.0°C,57.0,N/A,N/A,N/A,N/A,N/A
2025-02-05T23:09:05.103456+07:00,Hải Phòng,154,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,77%,16.0°C,60.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T00:01:10.771273+07:00,Hải Phòng,157,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,77%,16.0°C,64.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T01:01:18.072618+07:00,Hải Phòng,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,77%,16.0°C,66.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T02:01:20.042314+07:00,Hải Phòng,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,82%,16.0°C,66.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T03:01:23.629541+07:00,Hải Phòng,163,/dl/web/weather/ic-w-06-rain-full.svg,7.4 km/h,88%,15.0°C,72.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T04:01:28.778820+07:00,Hải Phòng,165,/dl/web/weather/ic-w-06-rain-full.svg,7.4 km/h,94%,14.0°C,75.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T05:01:29.067697+07:00,Hải Phòng,163,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,100%,14.0°C,73.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T06:01:32.260553+07:00,Hải Phòng,158,/dl/web/weather/ic-w-09-mist-full.svg,5.5 km/h,100%,14.0°C,65.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T07:35:18.220420+07:00,Hải Phòng,127,/dl/web/weather/ic-w-06-rain-full.svg,7.4 km/h,100%,14.0°C,46.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T09:08:31.176739+07:00,Hải Phòng,115,/dl/web/weather/ic-w-06-rain-full.svg,9.2 km/h,94%,15.0°C,41.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T10:12:08.497670+07:00,Hải Phòng,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,94%,15.0°C,34.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T11:01:09.086095+07:00,Hải Phòng,88,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,94%,15.0°C,29.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T12:01:20.139308+07:00,Hải Phòng,92,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,94%,15.0°C,31.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T13:01:08.791618+07:00,Hải Phòng,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,88%,16.0°C,32.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T14:01:42.285893+07:00,Hải Phòng,88,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,88%,16.0°C,29.0,N/A,N/A,N/A,N/A,N/A
