timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-03-01T00:01:17.669055+07:00,Hà Nội,162,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.0 km/h,92%,20.0°C,70.5,118.3,5.2,91.8,10.3,2172.7
2025-03-01T01:10:22.959497+07:00,Hà Nội,163,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,97%,18.9°C,72.0,114.9,5.4,92.0,8.0,2044.0
2025-03-01T02:01:06.899584+07:00,Hà Nội,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,97%,18.9°C,69.5,120.6,5.6,90.9,14.2,1430.1
2025-03-01T03:08:56.152676+07:00,Hà Nội,170,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,96%,18.9°C,82.0,108.8,5.3,90.7,7.6,1326.0
2025-03-01T04:01:06.984746+07:00,Hà Nội,169,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,96%,18.9°C,81.5,108.2,3.5,90.6,7.2,1123.9
2025-03-01T05:01:01.081866+07:00,Hà Nội,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,95%,18.9°C,69.5,104.0,5.8,90.5,5.9,1040.2
2025-03-01T06:00:44.492438+07:00,Hà Nội,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,94%,20.0°C,69.1,96.5,4.9,88.8,6.6,954.2
2025-03-01T09:17:36.509294+07:00,Hà Nội,160,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,90%,21.1°C,69.0,104.3,5.1,90.5,8.3,1715.7
2025-03-01T10:21:56.975687+07:00,Hà Nội,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,87%,21.1°C,70.0,111.3,3.8,90.2,9.3,1715.7
2025-03-01T11:08:58.058362+07:00,Hà Nội,164,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,81%,22.8°C,73.5,104.3,4.5,91.7,8.7,1034.1
2025-03-01T12:01:07.521844+07:00,Hà Nội,159,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,81%,22.8°C,67.0,101.5,4.6,89.4,8.8,1034.1
