timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-02-05T22:01:56.797579+07:00,Hải Dương,166,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.1 km/h,74%,17.0°C,76.3,101.5,6.1,N/A,6.3,2.5
2025-02-05T23:09:43.852385+07:00,Hải Dương,173,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,70%,16.0°C,87.1,110.3,13.7,N/A,5.4,2.4
2025-02-06T00:01:46.854844+07:00,Hải Dương,180,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,70%,16.0°C,96.3,127.2,24.6,N/A,3.6,2.6
2025-02-06T01:01:55.907799+07:00,Hải Dương,185,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.0 km/h,70%,16.0°C,103.5,144.5,26.7,N/A,3.1,2.4
2025-02-06T02:02:00.510833+07:00,Hải Dương,199,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.9 km/h,71%,16.0°C,123.9,158.7,N/A,N/A,N/A,N/A
2025-02-06T03:01:57.648925+07:00,Hải Dương,204,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.2 km/h,74%,15.0°C,129.0,161.1,17.8,N/A,2.6,2.2
2025-02-06T04:02:03.577798+07:00,Hải Dương,217,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.7 km/h,77%,15.0°C,141.5,154.2,14.0,N/A,2.4,2.2
2025-02-06T05:02:05.319353+07:00,Hải Dương,216,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.2 km/h,79%,15.0°C,140.2,142.5,6.5,N/A,2.2,2.1
2025-02-06T06:02:09.859755+07:00,Hải Dương,207,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.9 km/h,79%,15.0°C,131.9,120.6,6.5,N/A,2.8,2.0
2025-02-06T07:35:50.934027+07:00,Hải Dương,196,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.4 km/h,82%,16.0°C,119.9,107.9,5.5,N/A,2.8,2.5
2025-02-06T09:09:08.570971+07:00,Hải Dương,195,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.6 km/h,81%,16.0°C,117.7,105.9,4.6,N/A,2.9,3.9
2025-02-06T10:12:44.152466+07:00,Hải Dương,194,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.9 km/h,80%,16.0°C,116.8,94.9,5.6,N/A,2.8,3.8
2025-02-06T11:01:51.524492+07:00,Hải Dương,189,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.9 km/h,80%,16.0°C,109.7,84.2,5.8,N/A,2.9,3.2
2025-02-06T12:01:57.768575+07:00,Hải Dương,162,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,0.8 km/h,80%,17.0°C,71.0,78.3,7.5,N/A,2.9,3.0
2025-02-06T13:01:42.241687+07:00,Hải Dương,156,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.2 km/h,79%,17.0°C,62.0,70.6,10.4,N/A,3.2,3.2
2025-02-06T14:02:36.025872+07:00,Hải Dương,156,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%,17.0°C,62.3,59.4,11.2,N/A,3.1,3.0
2025-02-06T15:11:17.266979+07:00,Hải Dương,122,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.0 km/h,72%,18.0°C,44.0,52.0,10.3,N/A,2.3,2.8
2025-02-06T16:08:33.985907+07:00,Hải Dương,136,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.1 km/h,69%,19.0°C,49.9,49.9,11.6,N/A,2.6,3.0
2025-02-06T17:02:07.402374+07:00,Hải Dương,138,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.1 km/h,69%,19.0°C,50.5,51.1,9.2,N/A,3.1,3.2
2025-02-06T18:01:59.589213+07:00,Hải Dương,143,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.6 km/h,70%,19.0°C,52.5,58.5,3.8,N/A,2.5,3.5
2025-02-06T19:13:58.189788+07:00,Hải Dương,159,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,73%,18.0°C,66.9,84.2,4.8,N/A,2.7,3.9
2025-02-06T20:15:55.333327+07:00,Hải Dương,163,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,78%,17.0°C,72.8,94.6,1.9,N/A,2.2,3.3
2025-02-06T21:02:11.237362+07:00,Hải Dương,163,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,78%,17.0°C,72.8,94.6,1.9,N/A,2.2,3.3
2025-02-06T22:01:50.427857+07:00,Hải Dương,164,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,78%,16.0°C,74.8,95.3,2.2,N/A,2.0,3.0
2025-02-06T23:01:45.574618+07:00,Hải Dương,162,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,78%,16.0°C,71.2,86.6,4.8,N/A,1.9,2.6
2025-02-07T00:01:51.597248+07:00,Hải Dương,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.7 km/h,77%,16.0°C,65.6,74.0,8.4,N/A,1.6,2.3
2025-02-07T01:11:04.598952+07:00,Hải Dương,142,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,79%,15.0°C,52.1,55.4,12.5,N/A,1.5,2.0
2025-02-07T02:02:03.442006+07:00,Hải Dương,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,79%,15.0°C,30.0,36.4,20.3,N/A,1.5,1.8
2025-02-07T03:01:48.779375+07:00,Hải Dương,79,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.8 km/h,81%,14.0°C,23.9,N/A,N/A,N/A,N/A,N/A
2025-02-07T04:02:08.819042+07:00,Hải Dương,79,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.1 km/h,81%,14.0°C,23.9,N/A,N/A,N/A,N/A,N/A
2025-02-07T05:02:10.739567+07:00,Hải Dương,79,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.9 km/h,82%,13.0°C,23.9,N/A,N/A,N/A,N/A,N/A
2025-02-07T06:02:07.729141+07:00,Hải Dương,79,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.4 km/h,80%,13.0°C,23.9,36.4,20.3,N/A,1.5,1.8
2025-02-07T07:35:55.679230+07:00,Hải Dương,25,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.2 km/h,79%,13.0°C,4.6,4.4,19.5,N/A,1.3,1.9
2025-02-07T09:09:40.152902+07:00,Hải Dương,23,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,21.4 km/h,79%,13.0°C,4.3,1.9,15.2,N/A,1.5,2.4
2025-02-07T10:13:14.274125+07:00,Hải Dương,27,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.6 km/h,75%,13.0°C,4.9,3.9,18.0,N/A,1.6,2.4
2025-02-07T11:09:51.041034+07:00,Hải Dương,32,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,21.1 km/h,74%,13.0°C,5.7,5.7,23.8,N/A,1.4,2.2
2025-02-07T12:02:00.237512+07:00,Hải Dương,45,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,21.1 km/h,74%,13.0°C,8.1,12.6,27.0,N/A,1.6,2.1
2025-02-07T13:11:59.090537+07:00,Hải Dương,48,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.9 km/h,72%,13.0°C,8.8,19.5,28.4,N/A,1.4,2.3
2025-02-07T14:01:38.462013+07:00,Hải Dương,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.9 km/h,72%,13.0°C,11.4,23.2,32.4,N/A,1.5,2.1
2025-02-07T15:11:00.048936+07:00,Hải Dương,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.5 km/h,71%,13.0°C,13.2,25.8,31.1,N/A,1.4,2.1
2025-02-07T16:01:48.836644+07:00,Hải Dương,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.5 km/h,71%,13.0°C,14.7,27.0,30.7,N/A,1.7,2.2
2025-02-07T17:02:00.232984+07:00,Hải Dương,63,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.0 km/h,71%,13.0°C,15.6,25.8,28.2,N/A,1.6,2.2
2025-02-07T18:01:50.379514+07:00,Hải Dương,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.4 km/h,72%,13.0°C,13.3,23.2,17.6,N/A,1.3,2.4
2025-02-07T19:13:29.136550+07:00,Hải Dương,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.4 km/h,75%,12.0°C,11.0,25.3,19.0,N/A,1.3,2.8
2025-02-07T20:15:11.876145+07:00,Hải Dương,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.0 km/h,73%,12.0°C,14.6,28.2,21.8,N/A,1.3,2.4
2025-02-07T21:01:41.172265+07:00,Hải Dương,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.0 km/h,73%,12.0°C,14.6,28.2,21.8,N/A,1.3,2.4
2025-02-07T22:01:49.015349+07:00,Hải Dương,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.7 km/h,72%,12.0°C,16.2,26.8,22.0,N/A,1.7,2.2
2025-02-07T23:09:31.158936+07:00,Hải Dương,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,72%,12.0°C,15.0,25.7,21.2,N/A,1.4,2.1
2025-02-08T00:01:55.577703+07:00,Hải Dương,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,72%,12.0°C,16.0,26.1,23.1,N/A,1.6,2.0
2025-02-08T01:11:04.553972+07:00,Hải Dương,63,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,72%,12.0°C,15.6,29.9,30.2,N/A,1.3,1.8
2025-02-08T02:01:46.219357+07:00,Hải Dương,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,72%,12.0°C,12.6,26.2,36.2,N/A,1.6,1.7
2025-02-08T03:02:11.781108+07:00,Hải Dương,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,72%,12.0°C,11.4,19.0,38.9,N/A,1.7,1.6
2025-02-08T04:01:47.012770+07:00,Hải Dương,54,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.7 km/h,71%,12.0°C,10.9,15.1,38.6,N/A,1.4,1.6
2025-02-08T05:02:02.662916+07:00,Hải Dương,54,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,72%,12.0°C,10.7,12.7,39.2,N/A,1.5,1.6
2025-02-08T06:01:52.122836+07:00,Hải Dương,49,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.3 km/h,75%,11.0°C,8.9,12.7,30.8,N/A,1.3,1.6
