timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-06-01T00:01:45.779717+07:00,Hải Dương,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.3 km/h,86%,27.8°C,18.5,N/A,N/A,N/A,N/A,N/A
2025-06-01T01:10:44.494439+07:00,Hải Dương,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.0 km/h,88%,27.8°C,18.5,N/A,N/A,N/A,N/A,N/A
2025-06-01T02:01:45.893053+07:00,Hải Dương,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.0 km/h,91%,27.2°C,19.7,N/A,N/A,N/A,N/A,N/A
2025-06-01T03:01:44.221056+07:00,Hải Dương,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.2 km/h,93%,27.2°C,19.7,N/A,N/A,N/A,N/A,N/A
2025-06-01T04:01:55.795433+07:00,Hải Dương,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.6 km/h,93%,27.2°C,19.7,N/A,N/A,N/A,N/A,N/A
2025-06-01T05:02:02.783425+07:00,Hải Dương,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.7 km/h,91%,27.2°C,20.6,N/A,N/A,N/A,N/A,N/A
2025-06-01T06:02:06.156541+07:00,Hải Dương,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.2 km/h,90%,27.2°C,20.6,N/A,N/A,N/A,N/A,N/A
2025-06-01T07:53:07.939246+07:00,Hải Dương,76,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.9 km/h,78%,28.9°C,22.5,N/A,N/A,N/A,N/A,N/A
2025-06-01T09:55:37.250910+07:00,Hải Dương,76,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.3 km/h,62%,32.2°C,22.5,N/A,N/A,N/A,N/A,N/A
2025-06-01T10:54:26.333491+07:00,Hải Dương,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.8 km/h,53%,33.9°C,19.3,N/A,N/A,N/A,N/A,N/A
2025-06-01T11:26:00.978818+07:00,Hải Dương,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.6 km/h,46%,35.0°C,19.3,N/A,N/A,N/A,N/A,N/A
2025-06-01T12:10:49.112827+07:00,Hải Dương,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.8 km/h,43%,36.1°C,19.3,N/A,N/A,N/A,N/A,N/A
2025-06-01T13:12:25.358390+07:00,Hải Dương,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.6 km/h,38%,36.1°C,19.3,N/A,N/A,N/A,N/A,N/A
2025-06-01T14:08:45.422322+07:00,Hải Dương,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.9 km/h,38%,37.8°C,13.8,N/A,N/A,N/A,N/A,N/A
2025-06-01T15:11:21.429658+07:00,Hải Dương,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.2 km/h,38%,37.2°C,13.8,N/A,N/A,N/A,N/A,N/A
2025-06-01T16:09:02.373036+07:00,Hải Dương,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.2 km/h,36%,36.1°C,13.8,N/A,N/A,N/A,N/A,N/A
2025-06-01T17:09:14.817759+07:00,Hải Dương,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.4 km/h,41%,35.0°C,13.8,N/A,N/A,N/A,N/A,N/A
2025-06-01T18:01:40.122798+07:00,Hải Dương,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.0 km/h,56%,32.8°C,13.8,N/A,N/A,N/A,N/A,N/A
2025-06-01T19:14:43.830656+07:00,Hải Dương,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,22.7 km/h,59%,32.2°C,13.8,N/A,N/A,N/A,N/A,N/A
2025-06-01T20:19:08.909063+07:00,Hải Dương,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.2 km/h,59%,32.2°C,16.1,N/A,N/A,N/A,N/A,N/A
2025-06-01T21:02:09.816597+07:00,Hải Dương,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,62%,31.1°C,16.1,N/A,N/A,N/A,N/A,N/A
2025-06-01T22:01:52.321762+07:00,Hải Dương,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,64%,31.1°C,16.1,N/A,N/A,N/A,N/A,N/A
2025-06-01T23:09:39.990983+07:00,Hải Dương,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.0 km/h,66%,30.0°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T00:02:04.924157+07:00,Hải Dương,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,68%,30.0°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T01:10:59.329441+07:00,Hải Dương,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,70%,30.0°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T02:02:00.033883+07:00,Hải Dương,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.1 km/h,72%,28.9°C,16.6,N/A,N/A,N/A,N/A,N/A
2025-06-02T03:09:24.435411+07:00,Hải Dương,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.8 km/h,75%,28.9°C,16.6,N/A,N/A,N/A,N/A,N/A
2025-06-02T04:01:43.914918+07:00,Hải Dương,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.8 km/h,75%,28.9°C,16.6,N/A,N/A,N/A,N/A,N/A
2025-06-02T05:08:28.743723+07:00,Hải Dương,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.7 km/h,73%,28.9°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-06-02T06:01:53.950802+07:00,Hải Dương,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,74%,28.9°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-06-02T07:43:57.337901+07:00,Hải Dương,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.1 km/h,67%,31.1°C,19.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T09:43:02.056771+07:00,Hải Dương,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,57%,32.8°C,19.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T10:45:12.462583+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.0 km/h,53%,33.9°C,18.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T11:20:42.906533+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.1 km/h,51%,35.0°C,18.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T12:11:26.395028+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,49%,36.1°C,18.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T13:14:19.914074+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,47%,37.2°C,18.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T14:11:32.328792+07:00,Hải Dương,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.5 km/h,43%,37.8°C,14.9,N/A,N/A,N/A,N/A,N/A
2025-06-02T15:14:11.468327+07:00,Hải Dương,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.0 km/h,41%,37.8°C,14.9,N/A,N/A,N/A,N/A,N/A
2025-06-02T16:11:06.437746+07:00,Hải Dương,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.7 km/h,40%,37.8°C,14.9,N/A,N/A,N/A,N/A,N/A
2025-06-02T17:01:45.359749+07:00,Hải Dương,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,44%,37.2°C,14.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T18:08:48.400249+07:00,Hải Dương,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.1 km/h,53%,35.0°C,14.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T19:16:11.747608+07:00,Hải Dương,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,57%,32.8°C,14.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T20:25:40.287775+07:00,Hải Dương,71,/dl/web/weather/ic-w-12-night-rain-full.svg,11.3 km/h,61%,32.2°C,20.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T21:02:04.954196+07:00,Hải Dương,71,/dl/web/weather/ic-w-12-night-rain-full.svg,10.8 km/h,71%,30.0°C,20.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T22:02:01.107606+07:00,Hải Dương,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.7 km/h,75%,28.9°C,20.2,N/A,N/A,N/A,N/A,N/A
2025-06-02T23:11:37.364369+07:00,Hải Dương,77,/dl/web/weather/ic-w-12-night-rain-full.svg,12.1 km/h,76%,28.9°C,23.4,N/A,N/A,N/A,N/A,N/A
2025-06-03T00:09:52.102024+07:00,Hải Dương,77,/dl/web/weather/ic-w-12-night-rain-full.svg,12.1 km/h,78%,28.9°C,23.4,N/A,N/A,N/A,N/A,N/A
2025-06-03T01:12:44.573615+07:00,Hải Dương,77,/dl/web/weather/ic-w-12-night-rain-full.svg,11.7 km/h,82%,28.9°C,23.4,N/A,N/A,N/A,N/A,N/A
2025-06-03T02:01:57.542102+07:00,Hải Dương,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,83%,27.8°C,20.9,N/A,N/A,N/A,N/A,N/A
2025-06-03T03:10:07.640808+07:00,Hải Dương,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.7 km/h,82%,27.8°C,20.9,N/A,N/A,N/A,N/A,N/A
2025-06-03T04:02:15.189703+07:00,Hải Dương,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.0 km/h,82%,27.2°C,20.9,N/A,N/A,N/A,N/A,N/A
2025-06-03T05:02:03.266681+07:00,Hải Dương,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,83%,26.1°C,20.6,N/A,N/A,N/A,N/A,N/A
2025-06-03T06:01:46.868785+07:00,Hải Dương,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,80%,26.1°C,20.6,N/A,N/A,N/A,N/A,N/A
2025-06-03T07:42:48.871569+07:00,Hải Dương,74,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,75%,27.8°C,21.7,N/A,N/A,N/A,N/A,N/A
