timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:02:16.313078+07:00,Trà Vinh,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.0 km/h,86%,26.1°C,25.6,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:12:17.828978+07:00,Trà Vinh,82,/dl/web/weather/ic-w-12-night-rain-full.svg,4.3 km/h,86%,26.1°C,25.6,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:02:23.816320+07:00,Trà Vinh,77,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.8 km/h,85%,26.1°C,23.1,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:10:29.091740+07:00,Trà Vinh,77,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,89%,25.0°C,23.1,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:02:22.258877+07:00,Trà Vinh,77,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,89%,25.0°C,23.1,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:02:20.626103+07:00,Trà Vinh,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.3 km/h,88%,25.0°C,20.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:02:14.985802+07:00,Trà Vinh,72,/dl/web/weather/ic-w-12-night-rain-full.svg,6.0 km/h,88%,25.0°C,20.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T07:44:56.716157+07:00,Trà Vinh,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,76%,27.2°C,21.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T09:31:08.102887+07:00,Trà Vinh,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,70%,28.9°C,21.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:36:55.630640+07:00,Trà Vinh,74,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.1 km/h,51%,31.1°C,21.6,32.9,78.9,42.5,18.9,1.2
2025-04-01T11:12:41.281508+07:00,Trà Vinh,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.1 km/h,51%,31.1°C,18.0,N/A,N/A,N/A,N/A,N/A
