timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-03-14T10:20:38.732669+07:00,Trà Vinh,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.9 km/h,44%,32.2°C,12.9,20.1,66.2,4.6,5.8,1.9
2025-03-14T11:10:36.476537+07:00,Trà Vinh,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,22.0 km/h,40%,32.8°C,12.9,20.1,66.2,4.6,5.8,1.9
2025-03-14T12:02:22.841034+07:00,Trà Vinh,85,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,22.0 km/h,40%,32.8°C,27.4,42.9,126.2,1.1,N/A,2.5
2025-03-14T13:12:16.243033+07:00,Trà Vinh,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,22.2 km/h,36%,33.9°C,12.5,18.6,69.5,3.1,6.4,1.9
2025-03-14T14:02:05.238389+07:00,Trà Vinh,54,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,22.2 km/h,36%,33.9°C,10.6,15.5,68.4,4.7,6.3,1.5
2025-03-14T15:11:47.088548+07:00,Trà Vinh,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,21.1 km/h,41%,32.8°C,10.4,15.9,70.0,7.0,6.0,2.0
2025-03-14T16:09:34.118084+07:00,Trà Vinh,52,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.5 km/h,46%,31.1°C,9.9,15.4,69.2,6.2,5.7,2.1
2025-03-14T17:02:12.539308+07:00,Trà Vinh,29,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.5 km/h,46%,31.1°C,5.2,6.1,63.5,6.2,5.7,1.4
2025-03-14T18:02:08.159600+07:00,Trà Vinh,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.2 km/h,53%,30.0°C,11.4,18.9,69.9,21.3,5.0,2.1
2025-03-14T19:14:22.730261+07:00,Trà Vinh,31,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,75%,26.1°C,4.4,6.2,76.6,19.6,14.1,1.2
